0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
01010110 010000000 0
00100000 000111110 1
00110100 000001001 0
01000100 000010111 1
01001000 000000111 1
00011110 000001010 0
01000111 000011011 1
00101001 001000010 0
01000101 001111000 0
00100111 000010100 0
00110100 000010000 0
01010001 010010001 0
00101010 000100100 1
01001000 000111000 1
00101111 000110101 0
01010000 001110011 1
01011001 010110010 1
00101000 000111100 1
00100011 000111011 0
00101001 000100001 1
01001111 001110011 1
00011010 000100111 0
00011011 000001001 0
00101000 000011000 1
00110001 000100101 1
00110011 001001101 1
01001111 001001101 1
01000000 000111000 1
01001110 001100010 0
00111000 000111110 1
00110101 000011010 1
01011001 001111010 1
00111100 000010100 1
01010011 010001011 1
01000001 001110101 1
01001000 010000010 1
00101010 000010111 1
01000101 000001010 0
01011000 000001001 1
01011001 001110011 1
01000000 000100001 0
01001001 001001101 0
01000111 000000101 0
01000101 001010101 1
00101011 000101010 0
01010011 000000011 0
00111011 001011110 0
00010100 000010011 0
01010101 000111110 1
01001101 001011001 0
00101101 000000101 1
01000100 001011101 0
00110011 000011001 0
00101111 000000100 0
00101001 000011010 1
01000111 000111000 0
01001100 010001111 0
00011101 000100111 1
00000101 000001000 1
01000010 001011011 0
00111111 000101001 1
00110011 000111101 1
00100110 001000111 0
01010100 000001101 1
01001001 000100111 1
01000000 000111100 0
00111001 000001111 1
01011010 000100111 0
01001110 001100100 1
00100001 000100000 1
01001010 001100101 0
01010001 000000111 0
01010001 000011011 1
01001100 000010110 1
01000111 000010100 1
00011001 000101111 0
01011010 000001010 0
01010010 001100101 1
00010110 000001000 1
00110111 000010001 1
00100010 000011110 1
01001011 000100110 1
00100001 000010011 1
01010011 001100110 0
00111011 001000010 1
00101001 000100101 0
01010100 001000001 0
01000110 001011010 1
00100010 000000010 0
00001010 000001001 0
00111100 000000111 0
00100110 000010000 1
00110101 000111111 0
01000101 000110110 1
00111010 001101111 0
01010101 000111010 1
00110100 000011111 0
01011001 000110011 0
00111001 001101011 1
01000101 001110000 0
01011000 010010100 0
01000010 000001000 0
00010000 000000011 1
00010101 000000110 1
01010000 000100101 0
01001101 010000111 0
00011011 000001101 0
01010011 001100011 0
00111010 001100000 0
01010110 000101110 0
